step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,mobility-stress,0000086_01084_d_0000003_1,0,0,2,0.97153,76.671273,9483.169993,131.640611,False,True,False,15dB,12.955242,12.719888,3.870529,886.216958,3.882095,0.039953,122.953313,-120.0,-0.373149,0.28,False,True,2816.0,8192.0,0.0,73.68196,0.36,0.278618,0.125604,1.845091,0.38,9283.92696,194.048,0.195033,5.0,False,-20.390804
1,mobility-stress,0000086_01084_d_0000003_1,0,0,1,0.935943,73.319083,9194.875211,1.141855,False,True,False,15dB,13.363051,13.127697,3.986534,874.856246,3.932586,0.040264,122.545505,-120.0,-0.094837,0.28,False,True,2816.0,8192.0,0.0,72.733028,0.16,0.002346,0.210618,0.173091,0.04,9164.361569,29.312,0.001642,1.2,False,-19.34405
2,mobility-stress,0000086_01084_d_0000003_1,0,0,2,0.97153,74.896074,9244.200611,131.640611,False,True,False,15dB,13.947652,13.712299,4.153703,863.512828,3.984329,0.040586,121.960903,-120.0,0.358704,0.28,False,True,2816.0,8192.0,0.0,71.785483,0.36,0.259624,0.265876,1.845091,0.38,9044.970875,194.048,0.181737,5.0,False,-19.940176
3,mobility-stress,0000086_01084_d_0000003_1,0,0,1,0.935943,71.51656,8956.275494,1.141855,False,True,False,15dB,13.68239,13.447036,4.077729,852.187396,4.037367,0.040917,122.226165,-120.0,-0.039215,0.28,False,True,2816.0,8192.0,0.0,70.83938,0.16,0.002294,0.301795,0.173091,0.04,8925.761889,29.312,0.001606,1.2,False,-18.888106
4,mobility-stress,0000086_01084_d_0000003_1,0,0,2,0.97153,73.081556,9005.983571,131.640611,False,True,False,15dB,13.057381,12.822027,3.899534,840.880677,4.091747,0.04126,122.851175,-120.0,-0.798512,0.28,False,True,2816.0,8192.0,0.0,69.894778,0.36,0.276546,0.325142,1.845091,0.38,8806.741989,194.048,0.193582,5.0,False,-19.481986
5,mobility-stress,0000086_01084_d_0000003_1,0,0,1,0.935943,69.667407,8718.432529,1.141855,False,True,False,15dB,13.886963,13.651609,4.136304,829.593434,4.147515,0.041614,122.021593,-120.0,-0.104882,0.28,False,True,2816.0,8192.0,0.0,68.951738,0.16,0.002261,0.340317,0.173091,0.04,8687.918946,29.312,0.001583,1.2,False,-18.423138
6,mobility-stress,0000086_01084_d_0000003_1,0,0,2,0.97153,71.19618,8768.524359,131.640611,False,True,False,15dB,14.468977,14.233623,4.303559,818.326475,4.204721,0.041981,121.439578,-120.0,0.339479,0.28,False,True,2816.0,8192.0,0.0,68.010325,0.36,0.250583,0.350181,1.845091,0.38,8569.300951,194.048,0.175408,5.0,False,-19.009927
7,mobility-stress,0000086_01084_d_0000003_1,0,0,1,0.935943,67.802511,8481.410189,1.141855,False,True,False,15dB,14.164419,13.929065,4.215929,807.080649,4.263417,0.04236,121.744136,-120.0,-0.10447,0.28,False,True,2816.0,8192.0,0.0,67.070608,0.16,0.002219,0.356593,0.173091,0.04,8450.896636,29.312,0.001553,1.2,False,-17.95535
8,mobility-stress,0000086_01084_d_0000003_1,0,0,2,0.97153,69.336634,8531.943797,131.640611,False,True,False,15dB,14.031831,13.796477,4.177853,795.856851,4.323657,0.042753,121.876724,-120.0,-0.378222,0.28,False,True,2816.0,8192.0,0.0,66.13266,0.36,0.258123,0.36076,1.845091,0.38,8332.715111,194.048,0.180686,5.0,False,-18.543386
9,mobility-stress,0000086_01084_d_0000003_1,0,0,1,0.935943,65.935347,8245.279552,1.141855,False,True,False,15dB,14.080986,13.845633,4.191964,784.656028,4.385496,0.04316,121.827569,-120.0,-0.472043,0.28,False,True,2816.0,8192.0,0.0,65.196555,0.16,0.002231,0.363469,0.173091,0.04,8214.76599,29.312,0.001562,1.2,False,-17.487465
10,mobility-stress,0000086_01084_d_0000003_1,0,0,2,0.97153,67.454711,8296.276841,131.640611,False,True,False,15dB,14.996802,14.761448,4.455952,773.479176,4.448994,0.043581,120.911753,-120.0,0.298945,0.28,False,True,2816.0,8192.0,0.0,64.262376,0.36,0.242013,0.36523,1.845091,0.38,8097.059432,194.048,0.169409,5.0,False,-18.072734
11,mobility-stress,0000086_01084_d_0000003_1,0,0,1,0.935943,64.071828,8010.119677,1.141855,False,True,False,15dB,14.597725,14.362372,4.340672,762.327351,4.51421,0.044018,121.31083,-120.0,-0.246849,0.28,False,True,2816.0,8192.0,0.0,63.330208,0.16,0.002155,0.366374,0.173091,0.04,7979.606169,29.312,0.001508,1.2,False,-17.020697
