episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,mean_q_defer,mean_q_cache_stale,path_cache_ratio,path_token_ratio,path_image_ratio,path_defer_ratio,path_cache_update_ratio,expert_agreement,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,mean_defer_count,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,escalation_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_escalation,lambda_quality,lambda_deadline
0.0,-5.097525,-409.02700333249516,-409.02700333249516,-5.097525,0.2,-1.019505,-81.80540066649903,-81.80540066649903,0.37855340000000004,0.1865486,47.179453124999995,0.29920159999999996,1.0160031999999999,0.0,1526.9057970000001,0.6,0.0,0.0,1.6,0.4,0.4,0.2,0.0,0.0,1.0,0.4,0.4,0.2,0.0,0.0,0.0,1.4960079999999998,0.0,3391.6245390000004,1.0,0.0,0.6,0.6,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.264528274536133,250.0,0.1,0.65,0.9969999999999999,0.5745004,0.4335000000000001,0.1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-12.873969,-461.41101210284836,-461.41101210284836,-12.873969,0.0,-2.5747938,-92.28220242056967,-92.28220242056967,0.2940052,0.22570980000000002,47.003203125,0.27840000000000004,1.1136000000000001,0.0,687.7502534000001,0.6,0.6,0.0,2.4,0.6,0.2,0.2,0.0,0.0,1.0,0.6,0.2,0.2,0.0,0.0,0.0,1.3920000000000001,0.0,2363.1008190000002,2.0,2.0,0.4,0.6,0.4,0.0,0.6,0.2,0.2,0.4,0.0,0.0,0.0,5.264528274536133,250.0,0.09933333333333334,0.6481944444444445,1.0,0.4000006,0.246,0.10600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-3.156463,-379.6406975486353,-379.6406975486353,-3.156463,0.2,-0.6312926,-75.92813950972706,-75.92813950972706,0.3356026,0.19389620000000002,48.7224609375,0.3842,1.3585999999999998,0.0,1104.7066702000002,0.0,0.0,0.0,2.0,0.6,0.2,0.2,0.0,0.0,1.0,0.6,0.2,0.2,0.0,0.0,0.0,1.9209999999999998,0.0,2228.7338040000004,0.0,0.0,0.4,0.6,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,5.264528274536133,250.0,0.09866666666666667,0.6463888888888889,1.0,0.4000006000000001,0.276,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-4.040329,-450.96614465157256,-450.96614465157256,-4.040329,0.4,-0.8080658,-90.19322893031452,-90.19322893031452,0.48948719999999996,0.16818880000000003,48.87802734375,0.2784,0.9743999999999999,0.09995840000000022,1689.0211312,1.2,0.8,0.0,1.4,0.4,0.4,0.2,0.0,0.0,1.0,0.4,0.4,0.2,0.0,0.0,0.0,1.392,0.12494800000000028,3055.6588899999997,2.0,1.0,0.6,0.4,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,5.264528274536133,250.0,0.098,0.6445833333333334,0.9970000000000001,0.5850004,0.46349999999999997,0.2985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.030513,-157.94515655038194,-157.94515655038194,4.030513,0.4,0.8061026,-31.589031310076386,-31.589031310076386,0.7959062,0.0190512,49.280742187499996,0.0,0.0,0.0,3021.2461966,1.4,1.4,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,5013.581242,2.0,2.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,5.264528274536133,250.0,0.09733333333333334,0.6427777777777778,0.9800000000000001,0.9804999999999999,0.7300000000000001,0.43949999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-15.739725,-469.43665121501095,-469.43665121501095,-15.739725,0.0,-3.147945,-93.8873302430022,-93.8873302430022,0.46867839999999994,0.0799576,47.4766796875,0.2688064,0.9408223999999998,0.0,2840.4944096,1.2,1.2,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,1.344032,0.0,4792.827257,2.0,2.0,1.0,0.8,0.4,0.0,0.8,0.2,0.2,0.4,0.0,0.0,0.0,5.264528274536133,250.0,0.09666666666666668,0.6409722222222223,0.9969999999999999,0.9745000000000001,0.6405,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-18.822243999999998,-512.9483971832155,-512.9483971832155,-18.822243999999998,0.0,-3.7644487999999994,-102.58967943664311,-102.58967943664311,0.4399996,0.15036500000000003,88.0902734375,0.24500000000000002,0.8018000000000001,0.18558720000000015,1970.1985366000001,1.8,1.8,0.0,1.2,0.4,0.2,0.4,0.0,0.0,1.0,0.4,0.2,0.4,0.0,0.0,0.0,1.225,0.3801490000000003,3205.260553,3.0,3.0,0.6,0.4,0.4,0.2,0.2,0.0,0.4,0.6,0.0,0.0,0.0,5.264528274536133,250.0,0.096,0.6391666666666667,0.9969999999999999,0.5955004,0.47350000000000003,0.2395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-1.0213180000000008,-179.97788979915083,-179.97788979915083,-1.0213180000000008,0.4,-0.20426360000000016,-35.995577959830165,-35.995577959830165,0.6712052,0.051132600000000014,97.444921875,0.1058,0.1058,0.0,3050.1193622,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,1.0,0.2,0.4,0.4,0.0,0.0,0.0,0.529,0.0,4428.912716000001,0.0,0.0,0.8,0.2,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.264528274536133,250.0,0.09533333333333334,0.6373611111111112,0.994,0.7805002,0.6365000000000001,0.4119999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-6.460500000000001,-540.4671264284314,-540.4671264284314,-6.460500000000001,0.0,-1.2921,-108.09342528568627,-108.09342528568627,0.3356026,0.19224660000000002,48.7224609375,0.3842,1.0802,0.05844400000000007,1476.2750746,1.8,1.4,0.0,1.6,0.6,0.2,0.2,0.0,0.0,1.0,0.6,0.2,0.2,0.0,0.0,0.0,1.9209999999999998,0.07305500000000009,2065.885397,3.0,2.0,0.4,0.6,0.2,0.2,0.4,0.0,0.2,0.4,0.0,0.0,0.0,5.264528274536133,250.0,0.09466666666666668,0.6355555555555555,0.99,0.38500059999999997,0.28650000000000003,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-3.242279,-252.1788033682166,-252.1788033682166,-3.242279,0.4,-0.6484558,-50.435760673643315,-50.435760673643315,0.6682804000000001,0.05005280000000001,47.4419921875,0.1344032,0.336008,0.0,3000.943402,0.6,0.6,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.672016,0.0,5023.922804,1.0,1.0,1.0,0.4,0.2,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,5.264528274536133,250.0,0.094,0.63375,0.99,0.9745000000000001,0.665,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
