episode,quality_cost,deadline_cost,lambda_quality,lambda_deadline
0.0,0.8,0.575,0.04000000000000001,0.028749999999999998
1.0,0.55,0.725,0.0675,0.065
2.0,1.0,0.275,0.11750000000000001,0.07875
3.0,1.0,0.4,0.1675,0.09875
4.0,0.825,0.5,0.20875000000000002,0.12375
5.0,1.0,0.225,0.25875000000000004,0.135
6.0,0.25,0.7,0.27125000000000005,0.17
7.0,0.65,0.425,0.3037500000000001,0.19125
8.0,0.625,0.45,0.3350000000000001,0.21375
9.0,0.8,0.375,0.3750000000000001,0.23249999999999998
10.0,0.725,0.425,0.4112500000000001,0.25375
11.0,0.85,0.425,0.4537500000000001,0.27499999999999997
12.0,0.85,0.475,0.4962500000000001,0.29874999999999996
13.0,0.525,0.4,0.5225000000000001,0.31875
14.0,0.7,0.525,0.5575000000000001,0.345
15.0,0.725,0.5,0.5937500000000001,0.37
16.0,0.775,0.375,0.6325000000000001,0.38875
17.0,0.325,0.575,0.64875,0.4175
18.0,0.6,0.55,0.6787500000000001,0.445
19.0,1.0,0.375,0.7287500000000001,0.46375
20.0,0.975,0.425,0.7775000000000001,0.485
21.0,0.675,0.4,0.81125,0.505
22.0,0.975,0.5,0.86,0.53
23.0,0.8,0.45,0.9,0.5525
24.0,1.0,0.325,0.9500000000000001,0.56875
25.0,0.925,0.25,0.9962500000000001,0.5812499999999999
26.0,0.975,0.275,1.0450000000000002,0.595
27.0,0.625,0.475,1.0762500000000002,0.61875
28.0,0.375,0.575,1.0950000000000002,0.6475
29.0,0.85,0.375,1.1375000000000002,0.66625
30.0,1.0,0.35,1.1875000000000002,0.68375
31.0,1.0,0.2,1.2375000000000003,0.69375
32.0,0.475,0.475,1.2612500000000002,0.7175
33.0,0.625,0.475,1.2925000000000002,0.7412500000000001
34.0,0.85,0.375,1.3350000000000002,0.7600000000000001
35.0,0.475,0.475,1.3587500000000001,0.7837500000000002
36.0,0.975,0.15,1.4075000000000002,0.7912500000000001
37.0,0.5,0.525,1.4325,0.8175000000000001
38.0,0.975,0.3,1.4812500000000002,0.8325000000000001
39.0,0.975,0.1,1.5300000000000002,0.8375000000000001
40.0,0.875,0.1,1.5737500000000002,0.8425000000000001
41.0,0.625,0.325,1.6050000000000002,0.8587500000000001
42.0,0.65,0.3,1.6375000000000002,0.8737500000000001
43.0,0.975,0.2,1.6862500000000002,0.8837500000000001
44.0,0.875,0.15,1.7300000000000002,0.8912500000000001
45.0,0.975,0.1,1.7787500000000003,0.8962500000000001
46.0,1.0,0.05,1.8287500000000003,0.89875
47.0,1.0,0.025,1.8787500000000004,0.9
48.0,0.975,0.025,1.9275000000000004,0.90125
49.0,0.95,0.05,1.9750000000000005,0.9037499999999999
50.0,0.95,0.025,2.0225000000000004,0.9049999999999999
51.0,1.0,0.0,2.0725000000000002,0.9049999999999999
52.0,1.0,0.0,2.1225,0.9049999999999999
53.0,0.975,0.025,2.17125,0.9062499999999999
54.0,0.975,0.0,2.22,0.9062499999999999
55.0,1.0,0.0,2.27,0.9062499999999999
56.0,0.975,0.0,2.31875,0.9062499999999999
57.0,1.0,0.0,2.36875,0.9062499999999999
58.0,0.975,0.0,2.4175,0.9062499999999999
59.0,0.975,0.0,2.46625,0.9062499999999999
60.0,0.975,0.0,2.515,0.9062499999999999
61.0,1.0,0.0,2.565,0.9062499999999999
62.0,1.0,0.0,2.6149999999999998,0.9062499999999999
63.0,1.0,0.0,2.6649999999999996,0.9062499999999999
64.0,0.975,0.0,2.7137499999999997,0.9062499999999999
65.0,0.975,0.0,2.7624999999999997,0.9062499999999999
