step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,8.850774,1033.315936,37.365825,True,True,True,-5dB,44.891198,-2.715376,0.432855,120.509726,29.860179,0.726557,92.688722,-60.942521,2.842147,0.68,False,True,2816.0,8192.0,18966.684064,5.806179,0.36,0.707167,0.036198,1.561231,0.38,877.894202,149.856,0.565734,5.0,False,-5.258213
1,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,7.732022,881.90913,71.632369,True,True,True,5dB,52.87156,4.234813,1.307925,105.281481,34.743308,0.853025,84.70836,-59.912332,8.111287,0.68,False,True,2816.0,8192.0,18084.774934,4.806179,0.36,0.448659,0.175953,1.561231,0.38,726.694202,149.856,0.358927,5.0,False,-5.042433
2,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,6.864749,730.742638,55.398675,True,True,True,0dB,49.858688,1.759461,0.925147,91.070229,41.210871,0.942315,87.721232,-60.44986,2.699277,0.28,False,True,2816.0,8192.0,17354.032296,3.806179,0.36,0.490545,0.266795,1.561231,0.38,575.494202,149.856,0.392436,5.0,False,-4.776044
3,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,10.353939,583.086753,37.365825,True,True,True,-5dB,36.192847,-11.969894,0.062207,78.430752,49.907531,0.985003,101.387072,-60.386345,-12.896163,0.28,False,True,2816.0,8192.0,16770.945543,2.806179,0.36,4.920688,0.325842,1.561231,0.38,424.294202,149.856,3.93655,5.0,False,-5.378754
4,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,4.986733,428.362284,71.632369,True,True,True,5dB,54.910721,3.200778,1.139217,68.242062,61.548792,0.997642,82.669198,-56.839105,4.322918,0.28,False,True,2816.0,8192.0,16342.583259,1.806179,0.36,0.515101,0.364222,1.561231,0.38,273.094202,149.856,0.412081,5.0,False,-4.311956
5,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,5.063561,278.003788,37.365825,True,True,True,-5dB,40.775098,-6.707921,0.195344,61.729858,76.403891,0.999781,96.804822,-61.066079,-10.816264,0.28,False,True,2816.0,8192.0,16064.579471,0.806179,0.36,1.566982,0.389169,1.561231,0.38,121.894202,149.856,1.253586,5.0,False,-4.198645
6,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.493277,155.485329,55.398675,True,True,True,0dB,47.006471,-1.132356,0.576901,60.0,90.0,0.999975,90.573448,-60.410259,-4.864771,0.28,False,True,2816.0,8192.0,15909.094142,0.0,0.36,0.786661,0.405385,1.561231,0.38,0.0,149.856,0.629329,5.0,False,-3.871647
7,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.532073,155.507933,55.398675,True,True,True,0dB,47.504454,-1.332626,0.556898,60.0,90.0,0.999975,90.075466,-59.711997,-4.366788,0.28,False,True,2816.0,8192.0,15753.586209,0.0,0.36,0.814917,0.415925,1.561231,0.38,0.0,149.856,0.651933,5.0,False,-3.879415
8,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.228516,155.259607,55.398675,True,True,True,0dB,52.7269,1.574322,0.899541,60.0,90.0,0.999975,84.85302,-57.396475,0.855658,0.28,False,True,2816.0,8192.0,15598.326602,0.0,0.36,0.504509,0.422776,1.561231,0.38,0.0,149.856,0.403607,5.0,False,-3.818604
9,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.125902,155.173953,96.203541,True,True,True,10dB,56.135378,7.870604,1.982932,60.0,90.0,0.999975,81.444541,-60.28431,4.264136,0.28,False,True,2816.0,8192.0,15443.152649,0.0,0.36,0.397442,0.42723,1.561231,0.38,0.0,149.856,0.317953,5.0,False,-3.879657
10,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.018687,155.085866,131.73347,True,True,True,15dB,60.098802,16.04488,3.755795,60.0,90.0,0.999975,77.481117,-64.495268,8.22756,0.28,False,True,2816.0,8192.0,15288.066783,0.0,0.36,0.287332,0.430124,1.561231,0.38,0.0,149.856,0.229866,5.0,False,-3.929239
11,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.021001,155.086211,131.73347,True,True,True,15dB,63.752507,16.02003,3.750157,60.0,90.0,0.999975,73.827412,-60.816616,11.881265,0.28,False,True,2816.0,8192.0,15132.980572,0.0,0.36,0.287764,0.432006,1.561231,0.38,0.0,149.856,0.230211,5.0,False,-3.929702
