episode,quality_cost,deadline_cost,lambda_quality,lambda_deadline
0.0,0.55,0.4,0.027500000000000004,0.020000000000000004
1.0,1.0,0.325,0.07750000000000001,0.036250000000000004
2.0,0.725,0.375,0.11375000000000002,0.05500000000000001
3.0,0.775,0.45,0.15250000000000002,0.07750000000000001
4.0,0.975,0.325,0.20125000000000004,0.09375000000000001
5.0,0.45,0.5,0.22375000000000003,0.11875000000000002
6.0,0.7,0.425,0.25875000000000004,0.14
7.0,0.6,0.475,0.28875000000000006,0.16375
8.0,0.75,0.25,0.32625000000000004,0.17625000000000002
9.0,0.725,0.4,0.36250000000000004,0.19625000000000004
10.0,0.875,0.425,0.40625000000000006,0.21750000000000003
11.0,0.95,0.425,0.45375000000000004,0.23875000000000002
12.0,1.0,0.2,0.50375,0.24875000000000003
13.0,0.725,0.325,0.54,0.265
14.0,0.675,0.325,0.57375,0.28125
15.0,0.85,0.15,0.61625,0.28875
16.0,0.7,0.25,0.65125,0.30125
17.0,0.725,0.25,0.6875,0.31375000000000003
18.0,0.975,0.2,0.73625,0.32375000000000004
19.0,0.975,0.15,0.7849999999999999,0.33125000000000004
20.0,0.725,0.325,0.8212499999999999,0.34750000000000003
21.0,0.725,0.25,0.8574999999999999,0.36000000000000004
22.0,0.825,0.275,0.8987499999999999,0.37375
23.0,1.0,0.25,0.94875,0.38625000000000004
24.0,0.95,0.1,0.99625,0.39125000000000004
25.0,1.0,0.175,1.04625,0.4
26.0,0.7,0.275,1.0812499999999998,0.41375
27.0,0.675,0.275,1.1149999999999998,0.4275
28.0,0.9,0.3,1.1599999999999997,0.4425
29.0,1.0,0.275,1.2099999999999997,0.45625
30.0,0.825,0.35,1.2512499999999998,0.47375
31.0,0.65,0.325,1.2837499999999997,0.49
32.0,0.725,0.35,1.3199999999999996,0.5075
33.0,0.9,0.275,1.3649999999999995,0.52125
34.0,0.525,0.4,1.3912499999999997,0.54125
35.0,0.975,0.075,1.4399999999999997,0.545
36.0,0.675,0.3,1.4737499999999997,0.56
37.0,0.95,0.15,1.5212499999999998,0.5675
38.0,1.0,0.025,1.5712499999999998,0.56875
39.0,0.825,0.125,1.6124999999999998,0.575
