episode,raw_return,shaped_return,return,success_rate,mean_reward,mean_shaped_reward,quality_cost,deadline_cost,lambda_quality,lambda_deadline,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share
0.0,-68.85821899999999,-68.85821899999999,-68.85821899999999,0.05,-1.7214554749999997,-1.7214554749999997,0.55,0.4,0.027500000000000004,0.020000000000000004,0.5379509814381598,0.5355654889717698,0.5073079332336784,0.48930975311249486
1.0,-78.77755299999998,-80.13755300000003,-78.77755299999998,0.0,-1.9694388249999997,-2.003438825000001,1.0,0.325,0.07750000000000001,0.036250000000000004,0.5533573679327964,0.5425682647526263,0.524632818609476,0.480408965844661
2.0,-58.72225799999999,-61.513508,-58.72225799999999,0.075,-1.4680564499999997,-1.5378377,0.725,0.375,0.11375000000000002,0.05500000000000001,0.5195860743969678,0.526048486996442,0.5426371540650726,0.4749063498787581
3.0,-82.82037200000002,-87.33662199999999,-82.82037200000002,0.025,-2.0705093000000003,-2.18341555,0.775,0.45,0.15250000000000002,0.07750000000000001,0.4928549898192287,0.5404875706322492,0.5165212370455263,0.49759323151782153
4.0,-76.139849,-83.09484899999998,-76.139849,0.025,-1.903496225,-2.0773712249999994,0.975,0.325,0.20125000000000004,0.09375000000000001,0.4968028536140919,0.5450843383185566,0.5227609397396445,0.4724530784673989
5.0,-90.332666,-95.83016599999999,-90.332666,0.05,-2.2583166500000003,-2.3957541499999997,0.45,0.5,0.22375000000000003,0.11875000000000002,0.5019496295601131,0.5341724675521254,0.5564249423518777,0.4804979460164905
6.0,-71.13616,-79.41991,-71.13616,0.05,-1.778404,-1.98549775,0.7,0.425,0.25875000000000004,0.14,0.5080764012858272,0.4933119099587201,0.5024823118522763,0.5157296562455594
7.0,-78.31581399999997,-87.185814,-78.31581399999997,0.05,-1.9578953499999994,-2.17964535,0.6,0.475,0.28875000000000006,0.16375,0.5056180017068982,0.5272815985977649,0.5300377576425671,0.4467010405510664
8.0,-57.594494999999995,-67.894495,-57.594494999999995,0.05,-1.439862375,-1.6973623750000002,0.75,0.25,0.32625000000000004,0.17625000000000002,0.5229531666487459,0.4928529011458158,0.5248207123130559,0.4656009140983223
9.0,-72.29497599999999,-84.57622599999998,-72.29497599999999,0.025,-1.8073743999999998,-2.1144056499999992,0.725,0.4,0.36250000000000004,0.19625000000000004,0.4924189474210142,0.4851048178598285,0.5609742648229002,0.4944048431590199
