arm	seed	exit	start	end	dir
bl_oracle_best_feasible_evidence	0	0	2026-07-09T01:06:59	2026-07-09T01:07:11	outputs/rl/eps_recal_v3/bl_oracle_best_feasible_evidence_0
bl_oracle_best_feasible_evidence_nom	0	0	2026-07-09T01:07:11	2026-07-09T01:07:27	outputs/rl/eps_recal_v3/bl_oracle_best_feasible_evidence_0_nom
bl_semantic_greedy	0	0	2026-07-09T01:07:27	2026-07-09T01:07:38	outputs/rl/eps_recal_v3/bl_semantic_greedy_0
bl_semantic_greedy_nom	0	0	2026-07-09T01:07:38	2026-07-09T01:07:53	outputs/rl/eps_recal_v3/bl_semantic_greedy_0_nom
bl_always_cache	0	0	2026-07-09T01:07:53	2026-07-09T01:08:04	outputs/rl/eps_recal_v3/bl_always_cache_0
bl_always_cache_nom	0	0	2026-07-09T01:08:04	2026-07-09T01:08:19	outputs/rl/eps_recal_v3/bl_always_cache_0_nom
bl_random	0	0	2026-07-09T01:08:19	2026-07-09T01:08:29	outputs/rl/eps_recal_v3/bl_random_0
bl_random_nom	0	0	2026-07-09T01:08:29	2026-07-09T01:08:44	outputs/rl/eps_recal_v3/bl_random_0_nom
bl_random	1	0	2026-07-09T01:08:44	2026-07-09T01:08:54	outputs/rl/eps_recal_v3/bl_random_1
bl_random_nom	1	0	2026-07-09T01:08:54	2026-07-09T01:09:09	outputs/rl/eps_recal_v3/bl_random_1_nom
bl_random	2	0	2026-07-09T01:09:09	2026-07-09T01:09:20	outputs/rl/eps_recal_v3/bl_random_2
bl_random_nom	2	0	2026-07-09T01:09:20	2026-07-09T01:09:34	outputs/rl/eps_recal_v3/bl_random_2_nom
proposed	0	0	2026-07-09T01:09:34	2026-07-09T01:12:17	outputs/rl/eps_recal_v3/proposed_0
proposed_nom	0	0	2026-07-09T01:12:17	2026-07-09T01:12:35	outputs/rl/eps_recal_v3/proposed_0_nom
proposed	1	0	2026-07-09T01:12:35	2026-07-09T01:15:18	outputs/rl/eps_recal_v3/proposed_1
proposed_nom	1	0	2026-07-09T01:15:18	2026-07-09T01:15:36	outputs/rl/eps_recal_v3/proposed_1_nom
proposed	2	0	2026-07-09T01:15:36	2026-07-09T01:18:20	outputs/rl/eps_recal_v3/proposed_2
proposed_nom	2	0	2026-07-09T01:18:20	2026-07-09T01:18:37	outputs/rl/eps_recal_v3/proposed_2_nom
no_lagrangian	0	0	2026-07-09T01:18:37	2026-07-09T01:21:21	outputs/rl/eps_recal_v3/no_lagrangian_0
no_lagrangian_nom	0	0	2026-07-09T01:21:21	2026-07-09T01:21:39	outputs/rl/eps_recal_v3/no_lagrangian_0_nom
no_lagrangian	1	0	2026-07-09T01:21:39	2026-07-09T01:24:22	outputs/rl/eps_recal_v3/no_lagrangian_1
no_lagrangian_nom	1	0	2026-07-09T01:24:22	2026-07-09T01:24:40	outputs/rl/eps_recal_v3/no_lagrangian_1_nom
no_lagrangian	2	0	2026-07-09T01:24:40	2026-07-09T01:27:24	outputs/rl/eps_recal_v3/no_lagrangian_2
no_lagrangian_nom	2	0	2026-07-09T01:27:24	2026-07-09T01:27:43	outputs/rl/eps_recal_v3/no_lagrangian_2_nom
fixed_penalty	0	0	2026-07-09T01:27:43	2026-07-09T01:30:26	outputs/rl/eps_recal_v3/fixed_penalty_0
fixed_penalty_nom	0	0	2026-07-09T01:30:26	2026-07-09T01:30:44	outputs/rl/eps_recal_v3/fixed_penalty_0_nom
fixed_penalty	1	0	2026-07-09T01:30:44	2026-07-09T01:33:28	outputs/rl/eps_recal_v3/fixed_penalty_1
fixed_penalty_nom	1	0	2026-07-09T01:33:28	2026-07-09T01:33:46	outputs/rl/eps_recal_v3/fixed_penalty_1_nom
fixed_penalty	2	0	2026-07-09T01:33:46	2026-07-09T01:36:31	outputs/rl/eps_recal_v3/fixed_penalty_2
fixed_penalty_nom	2	0	2026-07-09T01:36:31	2026-07-09T01:36:49	outputs/rl/eps_recal_v3/fixed_penalty_2_nom
e4lut	0	0	2026-07-09T01:36:49	2026-07-09T01:39:30	outputs/rl/eps_recal_v3/e4lut_0
e4lut_nom	0	0	2026-07-09T01:39:30	2026-07-09T01:39:48	outputs/rl/eps_recal_v3/e4lut_0_nom
e4lut	1	0	2026-07-09T01:39:48	2026-07-09T01:42:30	outputs/rl/eps_recal_v3/e4lut_1
e4lut_nom	1	0	2026-07-09T01:42:30	2026-07-09T01:42:48	outputs/rl/eps_recal_v3/e4lut_1_nom
