step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,conflict-heavy,0000335_02353_d_0000055_9,0,0,1,0.351474,4.858518,684.64272,1.148433,True,True,True,10dB,40.43147,10.85918,2.976888,90.143866,29.94722,0.729315,93.55823,-78.401605,-0.894633,0.68,False,True,2816.0,8192.0,19315.35728,4.339354,0.16,0.00316,0.125604,0.1904,0.04,656.110256,27.3312,0.001264,1.2,False,-5.247858
1,conflict-heavy,0000335_02353_d_0000055_9,0,0,2,0.0,6.566609,696.402561,96.203541,True,True,True,10dB,44.220026,11.138456,3.045643,75.086719,36.820285,0.89001,89.769674,-74.889666,-0.659611,0.68,False,True,2816.0,8192.0,18618.954719,3.339354,0.36,0.258763,0.198893,2.0296,0.38,504.910256,186.3888,0.103505,5.0,False,-5.78429
2,conflict-heavy,0000335_02353_d_0000055_9,0,0,1,0.351474,2.979436,382.242717,1.148433,True,True,True,10dB,47.229717,10.891099,2.984729,61.628843,46.901284,0.975962,86.759983,-71.631491,-0.525428,0.28,False,True,2816.0,8192.0,18236.712002,2.339354,0.16,0.003152,0.24653,0.1904,0.04,353.710256,27.3312,0.001261,1.2,False,-4.751081
3,conflict-heavy,0000335_02353_d_0000055_9,0,0,2,0.0,4.647725,394.003567,96.203541,True,True,True,10dB,49.231103,11.019606,3.016343,51.051084,61.820202,0.997742,84.758597,-69.758259,-0.603643,0.28,False,True,2816.0,8192.0,17842.708435,1.339354,0.36,0.261276,0.277495,2.0296,0.38,202.510256,186.3888,0.104511,5.0,False,-5.279554
4,conflict-heavy,0000335_02353_d_0000055_9,0,0,1,0.351474,1.030344,79.842644,1.148433,True,False,True,10dB,50.433686,11.63668,3.169076,45.412687,82.269837,0.999914,83.556014,-69.172667,-0.568583,0.28,False,True,2816.0,8192.0,17762.865791,0.339354,0.16,0.002969,0.297622,0.1904,0.04,51.310256,27.3312,0.001187,1.2,False,-3.240303
5,conflict-heavy,0000335_02353_d_0000055_9,0,0,2,0.0,3.346124,191.495128,96.203541,True,True,True,10dB,50.534654,10.809901,2.96479,45.0,90.0,0.999975,83.455046,-68.24481,-0.55749,0.28,False,True,2816.0,8192.0,17571.370663,0.0,0.36,0.26582,0.310704,2.0296,0.38,0.0,186.3888,0.106328,5.0,False,-4.93823
6,conflict-heavy,0000335_02353_d_0000055_9,0,0,1,0.351474,0.712911,28.532521,1.148433,True,False,True,10dB,49.873611,10.330851,2.847748,45.0,90.0,0.999975,84.116089,-68.426823,-1.218534,0.28,False,True,2816.0,8192.0,17542.838142,0.0,0.16,0.003304,0.319208,0.1904,0.04,0.0,27.3312,0.001321,1.2,False,-3.156292
7,conflict-heavy,0000335_02353_d_0000055_9,0,0,2,0.0,3.372238,191.499961,96.203541,True,True,True,10dB,50.236092,10.282032,2.83588,45.0,90.0,0.999975,83.753608,-68.015479,-0.856052,0.28,False,True,2816.0,8192.0,17351.338181,0.0,0.36,0.277903,0.324735,2.0296,0.38,0.0,186.3888,0.111161,5.0,False,-4.943455
8,conflict-heavy,0000335_02353_d_0000055_9,0,0,1,0.351474,0.721847,28.532448,1.148433,True,False,True,10dB,50.57225,11.018427,3.016053,45.0,90.0,0.999975,83.41745,-68.415759,-0.519895,0.28,False,True,2816.0,8192.0,17322.805733,0.0,0.16,0.003119,0.328328,0.1904,0.04,0.0,27.3312,0.001248,1.2,False,-3.158079
9,conflict-heavy,0000335_02353_d_0000055_9,0,0,2,0.0,3.366849,191.495434,96.203541,True,True,True,10dB,50.330369,10.775178,2.956272,45.0,90.0,0.999975,83.659331,-68.41439,-0.761775,0.28,False,True,2816.0,8192.0,17131.310299,0.0,0.36,0.266586,0.330663,2.0296,0.38,0.0,186.3888,0.106634,5.0,False,-4.942375
10,conflict-heavy,0000335_02353_d_0000055_9,0,0,1,0.351474,0.725872,28.532516,1.148433,True,False,True,10dB,50.108328,10.376055,2.858748,45.0,90.0,0.999975,83.881372,-68.23729,-0.983817,0.28,False,True,2816.0,8192.0,17102.777783,0.0,0.16,0.003291,0.332181,0.1904,0.04,0.0,27.3312,0.001316,1.2,False,-3.158884
11,conflict-heavy,0000335_02353_d_0000055_9,0,0,2,0.0,3.368718,191.49518,96.203541,True,True,True,10dB,50.228695,10.803951,2.96333,45.0,90.0,0.999975,83.761006,-68.544852,-0.86345,0.28,False,True,2816.0,8192.0,16911.282603,0.0,0.36,0.265951,0.333168,2.0296,0.38,0.0,186.3888,0.10638,5.0,False,-4.942749
