episode,return,success_rate,mean_reward
0.0,25.789013425481308,0.375,0.6447253356370327
1.0,0.4790402088219867,0.275,0.011976005220549623
2.0,12.762844458636234,0.325,0.31907111146590583
3.0,-24.32372623400855,0.175,-0.6080931558502135
4.0,-5.383382089765456,0.25,-0.1345845522441365
5.0,32.55028144283612,0.4,0.8137570360709029
6.0,-11.99089786650529,0.225,-0.29977244666263225
7.0,-20.741135683360284,0.2,-0.5185283920840071
8.0,27.612325265779983,0.375,0.6903081316444997
9.0,3.4882657070459597,0.275,0.08720664267614904
10.0,0.20252564842462428,0.275,0.0050631412106155295
11.0,13.16288878673464,0.325,0.329072219668366
12.0,23.59799557612531,0.35,0.589949889403133
13.0,32.62584592263239,0.4,0.8156461480658095
14.0,13.455125234384788,0.325,0.3363781308596196
15.0,14.64748914041832,0.325,0.36618722851045804
16.0,-18.851660131488998,0.2,-0.471291503287225
17.0,20.526750447657165,0.35,0.5131687611914292
18.0,0.6116919946033992,0.275,0.015292299865084947
19.0,6.27912079776606,0.3,0.15697801994415156
20.0,27.818489475918284,0.375,0.6954622368979569
21.0,14.735079167984654,0.325,0.3683769791996162
22.0,2.269361775242352,0.275,0.0567340443810588
23.0,-5.322792014181626,0.25,-0.1330698003545406
24.0,19.8640839987308,0.35,0.49660209996826976
25.0,15.51302662231474,0.325,0.3878256655578685
26.0,-30.6999424994372,0.15,-0.7674985624859301
27.0,20.37568771543187,0.35,0.509392192885797
28.0,27.953454749140562,0.375,0.6988363687285143
29.0,9.844200533320366,0.3,0.24610501333300924
30.0,6.343350186507966,0.3,0.15858375466269914
31.0,6.418032840319834,0.3,0.16045082100799593
32.0,24.472346837783547,0.375,0.6118086709445889
33.0,-17.80503975113411,0.2,-0.4451259937783528
34.0,9.945056906333157,0.3,0.24862642265832902
35.0,-20.71151575917641,0.2,-0.5177878939794103
36.0,50.86331354183765,0.475,1.2715828385459411
37.0,40.1244726639404,0.425,1.0031118165985098
38.0,-24.622749439582282,0.175,-0.6155687359895571
39.0,22.130448474679085,0.35,0.5532612118669771
40.0,5.778472238566903,0.3,0.1444618059641725
41.0,58.495230605750294,0.5,1.4623807651437575
42.0,13.988568153613869,0.325,0.3497142038403469
43.0,29.624498615094197,0.4,0.7406124653773549
44.0,16.111643228204596,0.35,0.4027910807051148
45.0,37.70243628221434,0.425,0.9425609070553588
46.0,2.138337868834702,0.275,0.05345844672086768
47.0,32.497584901588056,0.4,0.8124396225397014
48.0,38.03013700776212,0.425,0.9507534251940528
49.0,7.534261847574879,0.3,0.18835654618937195
50.0,-18.884164824463582,0.2,-0.4721041206115896
51.0,1.0287540093866978,0.275,0.025718850234667467
52.0,13.57188323799346,0.325,0.33929708094983646
53.0,29.180146582911497,0.375,0.7295036645727876
54.0,52.317558079648876,0.475,1.3079389519912212
55.0,18.905466042531195,0.35,0.4726366510632799
56.0,-3.469451053827311,0.25,-0.08673627634568293
57.0,52.85496528464564,0.5,1.321374132116141
58.0,46.749369250701385,0.475,1.1687342312675344
59.0,41.62205258695046,0.45,1.0405513146737617
60.0,2.613986264042373,0.3,0.06534965660105944
61.0,14.171578300469692,0.35,0.35428945751174235
62.0,42.3974080897538,0.45,1.0599352022438449
63.0,27.72329331819582,0.4,0.6930823329548955
64.0,24.181237538367114,0.375,0.6045309384591777
65.0,17.896205400128217,0.375,0.44740513500320533
66.0,11.033045701850087,0.35,0.2758261425462522
67.0,-3.6503039008701226,0.3,-0.09125759752175311
68.0,40.2564517242835,0.45,1.0064112931070874
69.0,25.099182788216538,0.4,0.6274795697054132
70.0,69.16733949750001,0.575,1.7291834874375005
71.0,33.989823571755885,0.425,0.8497455892938973
72.0,56.486808461615794,0.525,1.4121702115403945
73.0,21.989793322706394,0.4,0.5497448330676601
74.0,4.253217206463995,0.325,0.10633043016159986
75.0,33.37129401618194,0.425,0.8342823504045483
76.0,67.65002158033387,0.575,1.6912505395083464
77.0,50.220938534531925,0.5,1.2555234633632983
78.0,59.55490126132217,0.55,1.4888725315330544
79.0,56.58480584553572,0.525,1.4146201461383927
80.0,50.91950494912419,0.5,1.2729876237281046
81.0,55.799305680104986,0.525,1.3949826420026243
82.0,53.25440268338348,0.525,1.331360067084587
83.0,29.57086227364167,0.425,0.7392715568410413
84.0,23.29922188792503,0.4,0.5824805471981257
85.0,30.113333963629792,0.425,0.7528333490907448
86.0,21.73523334663727,0.4,0.5433808336659317
87.0,61.06970971249496,0.55,1.5267427428123737
88.0,52.18306485210751,0.525,1.3045766213026877
89.0,20.961771049521094,0.4,0.5240442762380273
90.0,29.870079968059677,0.425,0.7467519992014917
91.0,34.433063208284224,0.45,0.8608265802071056
92.0,22.68085632571688,0.4,0.5670214081429219
93.0,22.681608357020128,0.4,0.5670402089255032
94.0,66.4310195494124,0.575,1.6607754887353097
95.0,23.13409612516965,0.4,0.5783524031292412
96.0,40.29524716580721,0.475,1.00738117914518
97.0,58.26811201295115,0.55,1.4567028003237792
98.0,13.541235107426617,0.375,0.33853087768566537
99.0,28.1180637365818,0.425,0.7029515934145453
100.0,47.97853888211383,0.5,1.1994634720528456
101.0,15.88153773212145,0.375,0.39703844330303595
102.0,60.28802340298702,0.55,1.5072005850746752
103.0,53.07604639218556,0.525,1.3269011598046387
104.0,74.36498696010915,0.6,1.8591246740027287
105.0,42.21041452709871,0.475,1.0552603631774677
106.0,27.270388642868838,0.425,0.681759716071721
107.0,38.85360000043861,0.475,0.9713400000109654
108.0,67.78954833383176,0.575,1.694738708345794
109.0,61.06734548279866,0.55,1.5266836370699661
110.0,57.35211667943684,0.525,1.433802916985921
111.0,78.15227216419744,0.6,1.953806804104935
112.0,29.01369611707775,0.425,0.7253424029269439
113.0,51.54099833998224,0.525,1.2885249584995562
114.0,15.28850250218581,0.375,0.38221256255464525
115.0,36.35162346282338,0.45,0.9087905865705845
116.0,42.34364085368471,0.475,1.0585910213421177
117.0,44.27722489328616,0.475,1.1069306223321536
118.0,19.317160570864715,0.375,0.4829290142716182
119.0,28.848783696051985,0.425,0.7212195924012997
