step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,conflict-heavy,0000327_01201_d_0000717_0,0,0,1,0.369615,4.802812,689.820608,1.156385,True,True,True,15dB,41.104678,13.442277,3.623438,90.678525,29.75278,0.72313,92.885022,-80.314146,-0.095601,0.68,False,True,2816.0,8192.0,19310.179392,4.3736,0.16,0.002614,0.036198,0.1904,0.04,661.288362,27.3312,0.001046,1.2,False,-5.238803
1,conflict-heavy,0000327_01201_d_0000717_0,0,0,2,0.0,6.575161,701.593635,131.73347,True,True,True,15dB,45.081801,13.767013,3.706132,75.581095,36.540224,0.885546,88.907899,-76.657521,0.315392,0.68,False,True,2816.0,8192.0,18608.585757,3.3736,0.36,0.291182,0.140778,2.0296,0.38,510.088362,186.3888,0.116473,5.0,False,-5.859137
2,conflict-heavy,0000327_01201_d_0000717_0,0,0,1,0.369615,2.975316,387.420586,1.156385,True,True,True,15dB,47.604305,13.746775,3.700971,62.051664,46.485667,0.974352,86.385395,-74.113357,-0.066313,0.28,False,True,2816.0,8192.0,18221.165171,2.3736,0.16,0.00256,0.208756,0.1904,0.04,358.888362,27.3312,0.001024,1.2,False,-4.752344
3,conflict-heavy,0000327_01201_d_0000717_0,0,0,2,0.0,4.68875,399.194206,131.73347,True,True,True,15dB,49.931146,13.69616,3.688067,51.345068,61.213841,0.997512,84.058554,-71.735147,0.155035,0.28,False,True,2816.0,8192.0,17821.970965,1.3736,0.36,0.292609,0.252941,2.0296,0.38,207.688362,186.3888,0.117043,5.0,False,-5.360895
4,conflict-heavy,0000327_01201_d_0000717_0,0,0,1,0.369615,1.048248,85.020597,1.156385,True,False,True,15dB,51.244785,13.599868,3.663536,45.499703,81.50061,0.999903,82.744915,-70.32493,0.261346,0.28,False,True,2816.0,8192.0,17736.950368,0.3736,0.16,0.002586,0.281662,0.1904,0.04,56.488362,27.3312,0.001034,1.2,False,-3.245971
5,conflict-heavy,0000327_01201_d_0000717_0,0,0,2,0.0,3.364344,191.506566,131.73347,True,True,True,15dB,51.155765,13.607394,3.665453,45.0,90.0,0.999975,82.833935,-70.421493,0.06362,0.28,False,True,2816.0,8192.0,17545.443802,0.0,0.36,0.294414,0.30033,2.0296,0.38,0.0,186.3888,0.117766,5.0,False,-5.012938
6,conflict-heavy,0000327_01201_d_0000717_0,0,0,1,0.369615,0.705454,28.532236,1.156385,True,False,True,15dB,51.589936,13.579762,3.658417,45.0,90.0,0.999975,82.399764,-69.959613,0.497792,0.28,False,True,2816.0,8192.0,17516.911566,0.0,0.16,0.002589,0.312465,0.1904,0.04,0.0,27.3312,0.001036,1.2,False,-3.154816
7,conflict-heavy,0000327_01201_d_0000717_0,0,0,2,0.0,3.386656,191.507482,131.73347,True,True,True,15dB,51.647585,13.496226,3.637158,45.0,90.0,0.999975,82.342115,-69.818407,0.55544,0.28,False,True,2816.0,8192.0,17325.404084,0.0,0.36,0.296704,0.320352,2.0296,0.38,0.0,186.3888,0.118682,5.0,False,-5.017401
8,conflict-heavy,0000327_01201_d_0000717_0,0,0,1,0.369615,0.71859,28.532284,1.156385,True,False,True,15dB,51.185269,12.933953,3.494539,45.0,90.0,0.999975,82.804431,-69.718435,0.093124,0.28,False,True,2816.0,8192.0,17296.8718,0.0,0.16,0.002711,0.325479,0.1904,0.04,0.0,27.3312,0.001084,1.2,False,-3.157444
9,conflict-heavy,0000327_01201_d_0000717_0,0,0,2,0.0,3.391431,191.506008,131.73347,True,True,True,15dB,51.049176,13.675834,3.682887,45.0,90.0,0.999975,82.940524,-70.596553,-0.042968,0.28,False,True,2816.0,8192.0,17105.365792,0.0,0.36,0.29302,0.328811,2.0296,0.38,0.0,186.3888,0.117208,5.0,False,-5.018356
10,conflict-heavy,0000327_01201_d_0000717_0,0,0,1,0.369615,0.724046,28.532267,1.156385,True,False,True,15dB,50.841063,13.153535,3.550135,45.0,90.0,0.999975,83.148637,-70.282312,-0.251082,0.28,False,True,2816.0,8192.0,17076.833525,0.0,0.16,0.002668,0.330977,0.1904,0.04,0.0,27.3312,0.001067,1.2,False,-3.158535
11,conflict-heavy,0000327_01201_d_0000717_0,0,0,2,0.0,3.411689,191.512681,131.73347,True,True,True,15dB,50.659593,12.894227,3.484495,45.0,90.0,0.999975,83.330107,-70.204461,-0.432552,0.28,False,True,2816.0,8192.0,16885.320844,0.0,0.36,0.309704,0.332385,2.0296,0.38,0.0,186.3888,0.123881,5.0,False,-5.02241
