episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
0.0,-44.495369000000004,-44.495369000000004,-44.495369000000004,-44.495369000000004,0.0,-4.4495369,-4.4495369,-4.4495369,0.6477692000000002,0.38702140000000007,83.1826924,0.17223080000000004,1.1955269999999998,42.393738400000004,3491.5635823000002,3.3,1.8,1.7223080000000004,75.141997,5778.775772,6.0,4.0,0.8,1.0,0.8,0.0,1.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.05,0.25,0.5620144147872924,0.35393986563045976,0.34192007881402975,0.3287499025464059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-43.758674,-43.758674,-43.758674,-43.758674,0.0,-4.3758674,-4.3758674,-4.3758674,0.5857048,0.3848316,62.5058294,0.23429520000000004,1.195527,41.074295299999996,3368.1538050000004,4.6,3.1,2.3429520000000004,65.86387400000001,5128.200982,8.0,5.0,0.7,1.0,0.7,0.0,1.0,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.049625,0.24875,0.6173225585818292,0.3460638262727738,0.3081955761611461,0.2642753008753061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-60.508233,-60.508233,-60.508233,-60.508233,0.0,-6.050823299999999,-6.050823299999999,-6.050823299999999,0.2429752,0.4147474,76.91265,0.5770248,3.5416547,56.235854200000006,4442.675021,4.6,4.3,5.770248,79.37266100000001,6011.09944,9.0,7.0,0.8,1.0,0.8,0.0,1.0,0.0,0.8,0.7,0.0,0.0,0.0,0.0,0.04925,0.2475,0.49695194143056864,0.4574913056458951,0.3446602197885513,0.34365611177682875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-47.977253,-47.977253,-47.977253,-47.977253,0.0,-4.7977253,-4.7977253,-4.7977253,0.3438604,0.4130458,38.6940052,0.47613959999999994,3.0521488,48.686885200000006,3978.995349099999,4.5,3.9,4.7613959999999995,62.626479,5084.685751,6.0,5.0,0.6,1.0,0.6,0.0,1.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.048875,0.24625,0.5828241507112979,0.31030898248472216,0.2562728262096643,0.22165931919217105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,-48.977384,-48.977384,-48.977384,-48.977384,0.0,-4.8977384,-4.8977384,-4.8977384,0.31402019999999997,0.4272714000000001,38.9316854,0.5059797999999999,2.7772065999999995,41.4955149,3403.2881801000003,3.0,2.1,5.059797999999999,63.776832999999996,4852.3301360000005,6.0,4.0,0.8,1.0,0.8,0.0,1.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0485,0.245,0.5572709300518035,0.4903791041936397,0.309893755108118,0.3646814506947994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-33.002324,-33.002324,-33.002324,-33.002324,0.0,-3.3002324,-3.3002324,-3.3002324,0.5047385999999999,0.3812768,21.152103399999994,0.3152614,1.3224806,32.7912343,2787.8189135,2.4,2.4,3.1526140000000002,48.600643999999996,4102.550272,3.0,3.0,0.5,1.0,0.5,0.0,1.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.048125,0.24375,0.6930700545310974,0.29104843652892115,0.20911873516440393,0.24236707678437233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-36.36849199999999,-36.36849199999999,-36.36849199999999,-36.36849199999999,0.0,-3.636849199999999,-3.636849199999999,-3.636849199999999,0.3737006,0.3988202,38.456325,0.44629939999999985,2.7388266999999997,30.683322799999996,2572.9431784000003,5.3,2.0,4.462993999999998,47.29079099999999,4007.6261830000003,9.0,3.0,0.4,1.0,0.4,0.0,1.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.04775,0.2425,0.7771846082210541,0.20866775192794798,0.15257258039712907,0.1470775448232889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-41.20557899999999,-41.20557899999999,-41.20557899999999,-41.20557899999999,0.0,-4.1205579,-4.1205579,-4.1205579,0.39430299999999996,0.412195,19.5846828,0.4256969999999999,2.4638844999999994,30.336659799999996,2614.4001820999997,5.2,2.2,4.256969999999999,52.31021999999999,4444.378825,9.0,4.0,0.5,1.0,0.5,0.0,1.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.047375,0.24125,0.7502791267633437,0.3006647509996891,0.2316828870326281,0.18081984004378318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-23.351318000000003,-23.351318000000003,-23.351318000000003,-23.351318000000003,0.0,-2.3351318,-2.3351318,-2.3351318,0.3556609999999999,0.3811030999999999,20.9145132,0.464339,2.0042361,30.2804714,2695.9518852,2.7,1.8,4.64339,36.686679,3255.4280559999997,3.0,2.0,0.3,1.0,0.3,0.0,1.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.047,0.24,0.852808938384056,0.1981263943941116,0.13375862410664557,0.14145201763510706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-21.83557,-21.83557,-21.83557,-21.83557,0.0,-2.183557,-2.183557,-2.183557,0.2753827999999999,0.3738826,0.2376202,0.5446171999999999,2.9953945999999996,11.6775841,1040.8680166000001,5.5,1.1,5.446171999999999,21.003667,1863.03094,10.0,2.0,0.2,1.0,0.2,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.046625,0.23875,0.9079371861219407,0.11112227271633146,0.11086022835969926,0.11816137403249742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
