question_type,service_level,channel_bin,snr_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,1,bad,-5dB,good,expired,critical,0.666667,3,0.533444,1201.333,1.173177
counting,1,bad,-5dB,good,expired,normal,0.913043,23,0.115157,826.565,0.807193
counting,1,bad,-5dB,good,fresh,critical,0.666667,3,0.533444,1201.333,1.173177
counting,1,bad,-5dB,good,fresh,normal,0.913043,23,0.115157,826.565,0.807193
counting,1,bad,-5dB,good,stale,critical,0.666667,3,0.533444,1201.333,1.173177
counting,1,bad,-5dB,good,stale,normal,0.913043,23,0.115157,826.565,0.807193
counting,1,bad,-5dB,medium,expired,critical,1.0,3,0.0,1248.667,1.219401
counting,1,bad,-5dB,medium,expired,normal,0.666667,9,0.307984,830.667,0.811198
counting,1,bad,-5dB,medium,fresh,critical,1.0,3,0.0,1248.667,1.219401
counting,1,bad,-5dB,medium,fresh,normal,0.666667,9,0.307984,830.667,0.811198
counting,1,bad,-5dB,medium,stale,critical,1.0,3,0.0,1248.667,1.219401
counting,1,bad,-5dB,medium,stale,normal,0.666667,9,0.307984,830.667,0.811198
counting,1,bad,-5dB,poor,expired,critical,0.285714,35,0.149666,1178.2,1.150586
counting,1,bad,-5dB,poor,expired,normal,0.466667,45,0.145765,794.822,0.776194
counting,1,bad,-5dB,poor,fresh,critical,0.285714,35,0.149666,1178.2,1.150586
counting,1,bad,-5dB,poor,fresh,normal,0.466667,45,0.145765,794.822,0.776194
counting,1,bad,-5dB,poor,stale,critical,0.285714,35,0.149666,1178.2,1.150586
counting,1,bad,-5dB,poor,stale,normal,0.466667,45,0.145765,794.822,0.776194
counting,1,bad,0dB,good,expired,critical,0.666667,3,0.533444,1201.333,1.173177
counting,1,bad,0dB,good,expired,normal,0.913043,23,0.115157,828.696,0.809273
counting,1,bad,0dB,good,fresh,critical,0.666667,3,0.533444,1201.333,1.173177
counting,1,bad,0dB,good,fresh,normal,0.913043,23,0.115157,828.696,0.809273
