step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,cache-heavy,0000327_01201_d_0000717_0,1,0,0,0.5,0.096198,1.61,0.0,True,False,False,20dB,40.323984,39.653043,3.951784,99.460998,37.103129,0.894362,91.904803,-120.0,-0.095601,1.0,True,True,2816.0,8192.0,19998.39,0.0,0.0,0.0,0.036198,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.019884
1,cache-heavy,0000327_01201_d_0000717_0,1,0,1,0.75,5.492083,743.66006,1.156738,True,True,False,20dB,40.734977,40.064036,3.992738,99.460998,37.103129,0.894362,91.49381,-120.0,0.315392,1.0,False,True,2816.0,8192.0,19254.72994,4.406957,0.16,0.002373,0.066753,0.816,0.04,666.331823,76.128,0.000237,1.2,False,-3.398194
2,cache-heavy,0000327_01201_d_0000717_0,1,0,0,0.246625,0.146615,1.61,0.0,True,False,False,20dB,42.568095,41.897154,4.175408,85.795001,44.374192,0.964411,89.660692,-120.0,-0.066313,0.91,True,True,2816.0,8192.0,19253.11994,0.0,0.0,0.0,0.086615,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.029967
3,cache-heavy,0000327_01201_d_0000717_0,1,0,1,0.75,4.524739,592.460049,1.156738,True,True,False,20dB,42.789443,42.118502,4.197466,85.795001,44.374192,0.964411,89.439344,-120.0,0.155035,0.91,False,True,2816.0,8192.0,18660.659891,3.406957,0.16,0.002258,0.099525,0.816,0.04,515.131823,76.128,0.000226,1.2,False,-3.144245
4,cache-heavy,0000327_01201_d_0000717_0,1,0,0,0.46175,0.167916,1.61,0.0,True,False,False,20dB,44.647396,43.976455,4.382616,74.007259,54.167441,0.992358,87.581391,-120.0,0.261346,0.49,False,True,2816.0,8192.0,18659.049891,0.0,0.0,0.0,0.107916,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.034227
5,cache-heavy,0000327_01201_d_0000717_0,1,0,1,0.75,3.538499,441.26004,1.156738,True,True,False,20dB,44.44967,43.77873,4.362912,74.007259,54.167441,0.992358,87.779117,-120.0,0.06362,0.49,False,True,2816.0,8192.0,18217.789851,2.406957,0.16,0.002172,0.11337,0.816,0.04,363.931823,76.128,0.000217,1.2,False,-2.886517
6,cache-heavy,0000327_01201_d_0000717_0,1,0,0,0.46175,0.176916,1.61,0.0,True,False,False,20dB,46.206478,45.535538,4.537986,65.125775,67.116027,0.999031,86.022309,-120.0,0.497792,0.49,False,True,2816.0,8192.0,18216.179851,0.0,0.0,0.0,0.116916,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.036027
7,cache-heavy,0000327_01201_d_0000717_0,1,0,1,0.75,2.544262,290.060031,1.156738,True,False,False,20dB,46.264127,45.593186,4.543731,65.125775,67.116027,0.999031,85.96466,-120.0,0.55544,0.49,False,True,2816.0,8192.0,17926.11982,1.406957,0.16,0.002086,0.11922,0.816,0.04,212.731823,76.128,0.000209,1.2,False,-1.62719
8,cache-heavy,0000327_01201_d_0000717_0,1,0,0,0.46175,0.180718,1.61,0.0,True,False,False,20dB,46.540387,45.869446,4.571261,60.445503,83.03938,0.999924,85.6884,-120.0,0.093124,0.49,False,True,2816.0,8192.0,17924.50982,0.0,0.0,0.0,0.120718,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.036788
9,cache-heavy,0000327_01201_d_0000717_0,1,0,1,0.75,1.546727,138.860031,1.156738,True,False,False,20dB,46.404295,45.733354,4.557699,60.445503,83.03938,0.999924,85.824493,-120.0,-0.042968,0.49,False,True,2816.0,8192.0,17785.649789,0.406957,0.16,0.002079,0.121692,0.816,0.04,61.531823,76.128,0.000208,1.2,False,-1.367203
10,cache-heavy,0000327_01201_d_0000717_0,1,0,0,0.46175,0.182325,1.61,0.0,True,False,False,20dB,46.269028,45.598088,4.544219,60.0,90.0,0.999975,85.959759,-120.0,-0.251082,0.49,False,True,2816.0,8192.0,17784.039789,0.0,0.0,0.0,0.122325,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037109
11,cache-heavy,0000327_01201_d_0000717_0,1,0,1,0.75,1.14083,77.328209,1.156738,True,False,False,20dB,46.087559,45.416618,4.526135,60.0,90.0,0.999975,86.141229,-120.0,-0.432552,0.49,False,True,2816.0,8192.0,17706.71158,0.0,0.16,0.002094,0.122736,0.816,0.04,0.0,76.128,0.000209,1.2,False,-1.261411
