arm	seed	exit	start	end	dir
bl_oracle_best_feasible_evidence	0	0	2026-07-09T13:19:29	2026-07-09T13:19:41	outputs/rl/eps_recal_v6/bl_oracle_best_feasible_evidence_0
bl_oracle_best_feasible_evidence_nom	0	0	2026-07-09T13:19:41	2026-07-09T13:19:57	outputs/rl/eps_recal_v6/bl_oracle_best_feasible_evidence_0_nom
bl_oracle_escalation_aware	0	0	2026-07-09T13:19:57	2026-07-09T13:20:11	outputs/rl/eps_recal_v6/bl_oracle_escalation_aware_0
bl_oracle_escalation_aware_nom	0	0	2026-07-09T13:20:11	2026-07-09T13:20:28	outputs/rl/eps_recal_v6/bl_oracle_escalation_aware_0_nom
bl_semantic_greedy	0	0	2026-07-09T13:20:28	2026-07-09T13:20:39	outputs/rl/eps_recal_v6/bl_semantic_greedy_0
bl_semantic_greedy_nom	0	0	2026-07-09T13:20:39	2026-07-09T13:20:55	outputs/rl/eps_recal_v6/bl_semantic_greedy_0_nom
bl_always_cache	0	0	2026-07-09T13:20:55	2026-07-09T13:21:06	outputs/rl/eps_recal_v6/bl_always_cache_0
bl_always_cache_nom	0	0	2026-07-09T13:21:06	2026-07-09T13:21:21	outputs/rl/eps_recal_v6/bl_always_cache_0_nom
bl_random	0	0	2026-07-09T13:21:21	2026-07-09T13:21:32	outputs/rl/eps_recal_v6/bl_random_0
bl_random	1	0	2026-07-09T13:21:32	2026-07-09T13:21:43	outputs/rl/eps_recal_v6/bl_random_1
bl_random	2	0	2026-07-09T13:21:43	2026-07-09T13:21:54	outputs/rl/eps_recal_v6/bl_random_2
proposed	0	0	2026-07-09T13:21:54	2026-07-09T13:24:44	outputs/rl/eps_recal_v6/proposed_0
proposed_nom	0	0	2026-07-09T13:24:44	2026-07-09T13:25:02	outputs/rl/eps_recal_v6/proposed_0_nom
proposed	1	0	2026-07-09T13:25:02	2026-07-09T13:27:52	outputs/rl/eps_recal_v6/proposed_1
proposed_nom	1	0	2026-07-09T13:27:52	2026-07-09T13:28:10	outputs/rl/eps_recal_v6/proposed_1_nom
proposed	2	0	2026-07-09T13:28:10	2026-07-09T13:30:58	outputs/rl/eps_recal_v6/proposed_2
proposed_nom	2	0	2026-07-09T13:30:58	2026-07-09T13:31:16	outputs/rl/eps_recal_v6/proposed_2_nom
no_lagrangian	0	0	2026-07-09T13:31:16	2026-07-09T13:34:07	outputs/rl/eps_recal_v6/no_lagrangian_0
no_lagrangian_nom	0	0	2026-07-09T13:34:07	2026-07-09T13:34:26	outputs/rl/eps_recal_v6/no_lagrangian_0_nom
no_lagrangian	1	0	2026-07-09T13:34:26	2026-07-09T13:37:15	outputs/rl/eps_recal_v6/no_lagrangian_1
no_lagrangian_nom	1	0	2026-07-09T13:37:15	2026-07-09T13:37:34	outputs/rl/eps_recal_v6/no_lagrangian_1_nom
no_lagrangian	2	0	2026-07-09T13:37:34	2026-07-09T13:40:24	outputs/rl/eps_recal_v6/no_lagrangian_2
no_lagrangian_nom	2	0	2026-07-09T13:40:24	2026-07-09T13:40:42	outputs/rl/eps_recal_v6/no_lagrangian_2_nom
fixed_penalty	0	0	2026-07-09T13:40:42	2026-07-09T13:43:33	outputs/rl/eps_recal_v6/fixed_penalty_0
fixed_penalty_nom	0	0	2026-07-09T13:43:33	2026-07-09T13:43:51	outputs/rl/eps_recal_v6/fixed_penalty_0_nom
fixed_penalty	1	0	2026-07-09T13:43:51	2026-07-09T13:46:41	outputs/rl/eps_recal_v6/fixed_penalty_1
fixed_penalty_nom	1	0	2026-07-09T13:46:41	2026-07-09T13:47:00	outputs/rl/eps_recal_v6/fixed_penalty_1_nom
fixed_penalty	2	0	2026-07-09T13:47:00	2026-07-09T13:49:48	outputs/rl/eps_recal_v6/fixed_penalty_2
fixed_penalty_nom	2	0	2026-07-09T13:49:48	2026-07-09T13:50:06	outputs/rl/eps_recal_v6/fixed_penalty_2_nom
e4lut	0	0	2026-07-09T13:50:06	2026-07-09T13:53:00	outputs/rl/eps_recal_v6/e4lut_0
e4lut_nom	0	0	2026-07-09T13:53:00	2026-07-09T13:53:19	outputs/rl/eps_recal_v6/e4lut_0_nom
e4lut	1	0	2026-07-09T13:53:19	2026-07-09T13:56:13	outputs/rl/eps_recal_v6/e4lut_1
e4lut_nom	1	0	2026-07-09T13:56:13	2026-07-09T13:56:31	outputs/rl/eps_recal_v6/e4lut_1_nom
proposed_nomtrain	0	0	2026-07-09T13:56:31	2026-07-09T14:00:14	outputs/rl/eps_recal_v6/proposed_0_nomtrain
proposed_nomtrain	1	0	2026-07-09T14:00:14	2026-07-09T14:03:59	outputs/rl/eps_recal_v6/proposed_1_nomtrain
proposed_nomtrain	2	0	2026-07-09T14:03:59	2026-07-09T14:07:43	outputs/rl/eps_recal_v6/proposed_2_nomtrain
