step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,cache-heavy,0000253_00001_d_0000001_0,1,0,0,0.671875,0.151704,1.61,0.0,False,False,False,20dB,40.08045,39.409509,3.927516,109.201318,33.328872,0.82233,92.148338,-120.0,1.366157,1.0,True,True,2816.0,8192.0,19998.39,0.0,0.0,0.0,0.091704,0.02,0.04,0.0,1.56,0.0,0.05,True,1.312765
1,cache-heavy,0000289_00201_d_0000812_2,1,0,1,0.890625,5.593864,753.727434,0.740326,False,True,False,20dB,41.478747,40.807806,4.066854,100.419471,36.690606,0.887962,90.75004,-120.0,1.223279,1.0,False,True,2816.0,8192.0,19244.662566,4.47354,0.16,0.001491,0.102833,0.816,0.04,676.399285,76.128,0.000149,1.2,False,-2.421744
2,cache-heavy,0000289_00201_d_0000812_2,1,0,0,0.324156,0.170066,1.61,0.0,True,False,False,20dB,43.84551,43.174569,4.302705,86.655733,43.819997,0.961239,88.383278,-120.0,1.343538,0.62,True,True,2816.0,8192.0,19243.052566,0.0,0.0,0.0,0.110066,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.034657
3,cache-heavy,0000280_01201_d_0000618_6,1,0,1,1.0,5.283967,704.939221,1.156738,False,True,False,20dB,41.442515,40.771574,4.063243,95.824944,38.766039,0.916992,90.786273,-120.0,0.410083,0.49,False,True,2816.0,8192.0,18538.113345,4.150866,0.16,0.002332,0.114768,0.816,0.04,627.610988,76.128,0.000233,1.2,False,-2.341083
4,cache-heavy,0000280_01201_d_0000618_6,1,0,0,0.230875,0.177824,1.61,0.0,True,False,False,20dB,43.310382,42.639442,4.249378,82.563058,46.611892,0.974852,88.918405,-120.0,0.185905,0.49,False,True,2816.0,8192.0,18536.503345,0.0,0.0,0.0,0.117824,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.036209
5,cache-heavy,0000280_01201_d_0000618_6,1,0,1,1.0,4.288924,553.739212,1.156738,False,True,False,20dB,42.991808,42.320867,4.217632,82.563058,46.611892,0.974852,89.23698,-120.0,-0.13267,0.49,False,True,2816.0,8192.0,17982.764133,3.150866,0.16,0.002247,0.119811,0.816,0.04,476.410988,76.128,0.000225,1.2,False,-2.081594
6,cache-heavy,0000280_01201_d_0000618_6,1,0,0,0.230875,0.181102,1.61,0.0,True,False,False,20dB,45.125638,44.454697,4.430275,71.406563,57.167469,0.995257,87.10315,-120.0,0.358128,0.49,False,True,2816.0,8192.0,17981.154133,0.0,0.0,0.0,0.121102,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.036864
7,cache-heavy,0000280_01201_d_0000618_6,1,0,1,1.0,3.29092,402.539199,1.156738,False,True,False,20dB,45.676218,45.005277,4.485142,71.406563,57.167469,0.995257,86.55257,-120.0,0.908708,0.49,False,True,2816.0,8192.0,17578.614934,2.150866,0.16,0.002113,0.121941,0.816,0.04,325.210988,76.128,0.000211,1.2,False,-1.821513
8,cache-heavy,0000280_01201_d_0000618_6,1,0,0,0.230875,0.182487,1.61,0.0,True,False,False,20dB,45.947944,45.277003,4.512221,63.475474,70.95226,0.999475,86.280844,-120.0,-0.016437,0.49,False,True,2816.0,8192.0,17577.004934,0.0,0.0,0.0,0.122487,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037141
9,cache-heavy,0000280_01201_d_0000618_6,1,0,1,1.0,2.291806,251.339198,1.156738,False,False,False,20dB,45.996282,45.325341,4.517038,63.475474,70.95226,0.999475,86.232506,-120.0,0.031901,0.49,False,True,2816.0,8192.0,17325.665736,1.150866,0.16,0.002098,0.122841,0.816,0.04,174.010988,76.128,0.00021,1.2,True,3.43879
10,cache-heavy,0000335_00785_d_0000047_8,1,0,0,0.230875,0.183072,1.61,0.0,True,False,False,20dB,46.440252,45.769312,4.561282,60.054493,87.558989,0.999963,85.788535,-120.0,-0.070856,0.49,False,True,2816.0,8192.0,17324.055736,0.0,0.0,0.0,0.123072,0.02,0.04,0.0,1.56,0.0,0.05,False,-1.037258
11,cache-heavy,0000335_00785_d_0000047_8,1,0,1,1.0,1.283391,98.813466,1.156738,False,False,False,20dB,46.584159,45.913218,4.575623,60.054493,87.558989,0.999963,85.644629,-120.0,0.07305,0.49,False,True,2816.0,8192.0,17225.24227,0.142098,0.16,0.002071,0.123222,0.816,0.04,21.485259,76.128,0.000207,1.2,True,3.701483
