step,scenario,task_id,uav_id,edge_id,service_level,answer_accuracy_est,delay_s,energy_j,payload_kb,quality_violation,deadline_violation,airspace_conflict,snr_bin,sensed_snr_db,sinr_db,rate_mbps,distance_3d_m,elevation_deg,los_probability,path_loss_db,interference_dbm,fading_db,cache_hit_probability,semantic_cache_hit,gpu_memory_ok,gpu_memory_used_mb,gpu_memory_capacity_mb,battery_remaining_j,fly_delay_s,sense_delay_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,fly_energy_j,hover_energy_j,tx_energy_j,compute_energy_j,success,reward
0,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,14.267486,1910.898565,96.203541,True,True,False,10dB,33.603846,10.278476,2.480639,217.463505,16.016154,0.224816,103.976073,-85.243891,2.842147,0.68,False,True,2816.0,8192.0,18089.101435,11.612357,0.36,0.3177,0.036198,1.561231,0.38,1755.788405,149.856,0.25416,5.0,False,-5.810264
1,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,13.437266,1759.722584,131.73347,True,True,False,15dB,40.142999,13.140576,3.103494,200.223796,17.437464,0.2669,97.43692,-81.555266,8.111287,0.68,False,True,2816.0,8192.0,16329.378851,10.612357,0.36,0.347724,0.175953,1.561231,0.38,1604.588405,149.856,0.27818,5.0,False,-5.654809
2,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,12.563362,1608.550789,96.203541,True,True,False,10dB,36.219277,8.242998,2.05781,183.130448,19.125311,0.322927,101.360643,-80.579667,2.699277,0.28,False,True,2816.0,8192.0,14720.828062,9.612357,0.36,0.38298,0.266795,1.561231,0.38,1453.388405,149.856,0.306384,5.0,False,-5.3485
3,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,13.630121,1458.956958,37.365825,True,True,False,-5dB,22.392599,-8.691098,0.128039,166.228618,21.158469,0.397702,115.187321,-77.468708,-12.896163,0.28,False,True,2816.0,8192.0,13261.871104,8.612357,0.36,2.390692,0.325842,1.561231,0.38,1302.188405,149.856,1.912554,5.0,False,-5.384339
4,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,10.605895,1306.106873,184.215198,True,True,False,20dB,41.721922,19.734734,4.599694,149.583241,23.647867,0.495814,95.857997,-86.589402,4.322918,0.28,False,True,2816.0,8192.0,11955.764231,7.612357,0.36,0.328085,0.364222,1.561231,0.38,1150.988405,149.856,0.262468,5.0,False,-5.012052
5,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,9.770029,1155.018223,55.398675,True,True,False,0dB,29.051092,2.084902,0.971224,133.29043,26.752978,0.617765,108.528827,-81.591571,-10.816264,0.28,False,True,2816.0,8192.0,10800.746008,6.612357,0.36,0.467272,0.389169,1.561231,0.38,999.788405,149.856,0.373818,5.0,False,-4.52681
6,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,8.654587,1003.712896,131.73347,True,True,False,15dB,37.718616,13.644236,3.215482,117.496941,30.707242,0.752642,99.861304,-84.49167,-4.864771,0.28,False,True,2816.0,8192.0,9797.033112,5.612357,0.36,0.335614,0.405385,1.561231,0.38,848.588405,149.856,0.268491,5.0,False,-4.395869
7,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,7.712864,852.551085,96.203541,True,True,False,10dB,40.891747,8.233147,2.055819,102.433997,35.855499,0.873964,96.688172,-75.892775,-4.366788,0.28,False,True,2816.0,8192.0,8944.482027,4.612357,0.36,0.383351,0.415925,1.561231,0.38,697.388405,149.856,0.306681,5.0,False,-4.076
8,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,6.605196,701.25947,184.215198,True,True,False,20dB,48.425816,24.123735,5.613512,88.475512,42.699538,0.953978,89.154104,-84.263096,0.855658,0.28,False,True,2816.0,8192.0,8243.222557,3.612357,0.36,0.268832,0.422776,1.561231,0.38,546.188405,149.856,0.215065,5.0,False,-3.969973
9,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,5.524133,549.991057,184.215198,True,True,False,20dB,53.67598,35.400815,8.232218,76.230629,51.913947,0.989076,83.903939,-90.338945,4.264136,0.28,False,True,2816.0,8192.0,7693.2315,2.612357,0.36,0.183315,0.42723,1.561231,0.38,394.988405,149.856,0.146652,5.0,False,-3.693253
10,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,4.551627,398.810737,184.215198,True,True,False,20dB,59.054865,31.21011,7.258206,66.650592,64.186614,0.998452,78.525054,-80.711404,8.22756,0.28,False,True,2816.0,8192.0,7294.420763,1.612357,0.36,0.207915,0.430124,1.561231,0.38,243.788405,149.856,0.166332,5.0,False,-3.43828
11,interference-heavy,0000327_01201_d_0000717_0,2,0,2,0.0,3.481654,247.553253,184.215198,True,True,False,20dB,63.589165,47.697474,11.091348,61.004049,79.590422,0.999868,73.990755,-92.770639,11.881265,0.28,False,True,2816.0,8192.0,7046.86751,0.612357,0.36,0.13606,0.432006,1.561231,0.38,92.588405,149.856,0.108848,5.0,False,-3.163782
