episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,mean_semantic_payload_kb,mean_semantic_quality_gap,mean_q_quality,mean_q_deadline,mean_q_energy,mean_q_risk,mean_q_utm,max_q_quality,max_q_deadline,max_q_energy,max_q_risk,max_q_utm,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,mobility_update_interval,mean_flight_energy_j,mean_arrival_delay_s,mean_coverage_gain,mean_utm_conflict_risk,mobility_reuse_ratio,serve_task_ratio,avoid_conflict_ratio
0.0,-28.733596000000002,-45.85966653850335,-45.85966653850335,-28.733596000000002,0.0,-2.8733596,-4.585966653850335,-4.585966653850335,0.7529962000000001,0.3900360000000001,1.0692909,0.06700379999999997,0.4346771999999999,4.465467800000001,0.0,4.7,3.8,0.6700379999999998,7.651131000000002,0.0,9.0,8.0,0.9,1.0,0.6,0.0,1.0,0.0,0.6,0.8,0.0,0.0,0.553210973739624,500.0,0.1,0.65,0.9999999999999787,0.88818967477808,0.6328106737732888,0.21703660747408865,0.0,0.098,0.0,0.057999999999999996,0.14400000000000002,0.0,0.0,0.049,0.028999999999999998,3.0,206.04088420000002,1.5530688000000001,-0.0013556999999999996,0.007019700000000001,0.6,0.0,0.4
1.0,-15.864327,-134.90108976889027,-136.83308976889026,-15.864327,0.0,-1.5864327,-13.490108976889028,-13.683308976889027,0.7073472000000001,0.38782020000000006,0.8316706999999999,0.11265279999999997,0.6504424,0.2850163000000001,3.821635600000002,3.0,3.0,1.1265279999999998,2.5495290000000006,38.21635600000002,5.0,5.0,0.7,1.0,0.4,0.0,1.0,0.0,0.4,0.5,0.0,0.0,0.553210973739624,500.0,0.09933333333333334,0.6481944444444445,0.9999999999999316,0.6830033766129494,0.4931194630563259,0.17409424114227295,0.0,0.19502000000000003,0.0,0.09542,0.22656000000000004,0.0,0.0,0.09751000000000001,0.04771,3.0,157.7041936,1.1420424,-0.017188500000000002,0.0,0.6,0.0,0.6
2.0,-12.038545999999998,-329.9743995659387,-332.6042795659388,-12.038545999999998,0.0,-1.2038545999999999,-32.99743995659387,-33.26042795659388,0.4938734,0.4062036000000001,0.4753604,0.32612659999999993,1.6568654999999999,0.0,0.0,2.1,2.1,3.261265999999999,0.0,0.0,3.0,3.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.553210973739624,500.0,0.09866666666666667,0.6463888888888889,0.9999999999999567,0.3947337222891808,0.2843896523714065,0.0907913618385792,0.0,0.29106980000000005,0.0,0.0924658,0.26829440000000004,0.0,0.0,0.14553490000000002,0.0462329,3.0,108.77923959999998,0.7260137999999999,-0.0129882,0.0037037,0.6,0.0,0.4
3.0,-52.443943999999995,-3265.5208750326774,-3269.263765232677,-52.443943999999995,0.0,-5.244394399999999,-326.5520875032677,-326.9263765232677,0.5535538000000001,0.37775240000000004,0.0,0.26644619999999986,1.2689428999999994,78.6985346,8101.356276299999,0.0,0.0,2.6644619999999986,119.420022,12131.489262000001,0.0,0.0,0.0,1.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.553210973739624,500.0,0.098,0.6445833333333334,1.0,1.0000000000000002e-06,0.009999999999999998,0.009999999999999998,0.0,0.38615910200000003,0.0,0.17954114200000001,0.249611456,0.0,0.0,0.19307955100000002,0.08977057100000001,3.0,1669.6285192,14.1975213,0.0754565,0.0,0.6,0.6,0.1
4.0,-32.070161999999996,-1249.3125522169457,-1253.8923078049456,-32.070161999999996,0.0,-3.2070161999999995,-124.93125522169457,-125.38923078049456,0.4745858,0.39711860000000004,0.2376802,0.3454141999999999,1.8997780999999994,20.9413799,2048.4616923000003,0.0,0.0,3.4541419999999987,57.812187,5912.171388,0.0,0.0,0.2,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.553210973739624,500.0,0.09733333333333334,0.6427777777777778,0.9999999999999943,0.19227629105882646,0.15473759520053865,0.0789947969019413,0.0,0.48029751098000006,0.0,0.21574573058000002,0.23111534144,0.0,0.0,0.24014875549000003,0.10787286529000001,3.0,849.4061942000001,7.0238621,0.07666530000000002,0.0,0.6,0.4,0.3
5.0,-9.949331999999998,-64.31574391578334,-70.92153292452335,-9.949331999999998,0.0,-0.9949331999999999,-6.4315743915783345,-7.092153292452335,0.7340944000000001,0.3886710000000001,0.9504807999999999,0.08590559999999998,0.6236952,0.02622310000000021,0.0,2.4,2.4,0.8590559999999998,0.1197310000000007,0.0,5.0,5.0,0.8,1.0,0.3,0.0,1.0,0.0,0.3,0.5,0.0,0.0,0.553210973739624,500.0,0.09666666666666668,0.6409722222222223,0.999999999999919,0.7813902251686573,0.564766134440899,0.19288714435696602,0.0,0.5734945358702,0.0,0.24158827327420002,0.3128041880256,0.0,0.0,0.2867472679351,0.12079413663710001,3.0,135.44593000000003,1.1517510000000002,-0.017661600000000003,0.0,0.6,0.0,1.0
6.0,-40.075366,-1778.1221225979584,-1785.5481858695798,-40.075366,0.0,-4.0075366,-177.81221225979584,-178.554818586958,0.5237136,0.39197800000000005,0.2376802,0.2962863999999999,1.3584634999999996,26.1491674,2504.8967258999996,0.0,0.0,2.962863999999999,79.580807,8271.255753,0.0,0.0,0.2,1.0,0.7,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.553210973739624,500.0,0.096,0.6391666666666667,1.0,0.20000079999999998,0.138,0.038000000000000006,0.0,0.665759590511498,0.0,0.307172390541458,0.293676146145344,0.0,0.0,0.332879795255749,0.153586195270729,3.0,1161.2866956,9.8748867,0.0630897,0.0,0.6,0.3,0.0
7.0,-13.003312000000001,-758.3462259000631,-766.232511367344,-13.003312000000001,0.0,-1.3003312,-75.83462259000632,-76.62325113673441,0.5903297000000002,0.3815101000000001,0.2376202,0.2296702999999999,1.0182013999999997,11.085436300000001,1084.9695927,0.0,0.0,2.296702999999999,38.037141,3604.682733,0.0,0.0,0.2,1.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.553210973739624,500.0,0.09533333333333334,0.6373611111111112,0.9999999999999509,0.1838788981302261,0.16375655475258827,0.08200097012519837,0.0,0.757101994606383,0.0,0.34210066663604344,0.27473938468389053,0.0,0.0,0.3785509973031915,0.17105033331802172,3.0,597.9620523000001,5.0847112,0.07272909999999999,0.0,0.6,0.3,0.3
8.0,-14.862683999999998,-319.657465161589,-329.01164397966056,-14.862683999999998,0.0,-1.4862683999999997,-31.9657465161589,-32.901164397966056,0.6894731000000002,0.3854275000000001,0.7128606,0.13052689999999995,0.44687719999999986,2.4996648,291.291567,2.8,2.8,1.3052689999999996,24.994773000000002,2912.91567,4.0,4.0,0.6,1.0,0.2,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.553210973739624,500.0,0.09466666666666668,0.6355555555555555,0.9999999999999509,0.5916801102987768,0.4142522951364517,0.13041692921519282,0.0,0.8475309746603192,0.0,0.35667965996968304,0.3359919908370516,0.0,0.0,0.4237654873301596,0.17833982998484152,3.0,462.40790400000003,3.9320399000000004,0.0026900000000000006,0.0,0.6,0.1,0.9
9.0,-25.6778,-54.99607305013002,-67.58603736330835,-25.6778,0.0,-2.56778,-5.4996073050130025,-6.758603736330835,0.7451508,0.39055020000000007,1.0692909,0.07484919999999998,0.2913081999999999,0.1326224000000006,0.0,5.3,5.2,0.7484919999999997,0.2959170000000011,0.0,9.0,8.0,0.9,1.0,0.4,0.0,1.0,0.0,0.4,0.8,0.0,0.0,0.553210973739624,500.0,0.094,0.63375,0.9999999999999878,0.8856292939318179,0.6216308597326279,0.20467827348411077,0.0,0.9370556649137161,0.0,0.3911128633699862,0.4766320709286811,0.0,0.0,0.46852783245685803,0.1955564316849931,3.0,135.44593000000003,1.1517510000000002,-0.016432399999999996,0.0,0.6,0.0,1.0
